[x_ref,y_ref,yaw_ref]
15.6993,-3.22659,-1.43647
15.703,-3.25378,-1.43647
15.7067,-3.28097,-1.43647
15.7103,-3.30816,-1.43647
15.714,-3.33536,-1.43647
15.7177,-3.36255,-1.43647
15.7214,-3.38974,-1.43647
15.725,-3.41693,-1.43647
15.7287,-3.44413,-1.43647
15.7324,-3.47132,-1.43647
15.7361,-3.49851,-1.43647
15.7397,-3.5257,-1.43647
15.7434,-3.55289,-1.43647
15.7471,-3.58009,-1.43647
15.7508,-3.60728,-1.43647
15.7544,-3.63447,-1.43647
15.7581,-3.66166,-1.43647
15.7618,-3.68886,-1.43647
15.7655,-3.71605,-1.43647
15.7691,-3.74324,-1.43647
15.7728,-3.77043,-1.43647
15.7765,-3.79763,-1.43647
15.7802,-3.82482,-1.43647
15.7838,-3.85201,-1.43647
15.7875,-3.8792,-1.43647
15.7912,-3.9064,-1.43647
15.7949,-3.93359,-1.43647
15.7985,-3.96078,-1.43647
15.8022,-3.98797,-1.43647
15.8059,-4.01517,-1.43647
15.8096,-4.04236,-1.43647
15.8132,-4.06955,-1.43647
15.8169,-4.09674,-1.43647
15.8206,-4.12393,-1.43647
15.8243,-4.15113,-1.43647
15.8279,-4.17832,-1.43647
15.8316,-4.20551,-1.43647
15.8353,-4.2327,-1.43647
15.839,-4.2599,-1.43647
15.8426,-4.28709,-1.43647
15.8463,-4.31428,-1.43647
15.85,-4.34147,-1.43647
15.8537,-4.36867,-1.43647
15.8573,-4.39586,-1.43647
15.861,-4.42305,-1.43647
15.8647,-4.45024,-1.43647
15.8683,-4.47744,-1.43647
15.872,-4.50463,-1.43647
15.8757,-4.53182,-1.43647
15.8794,-4.55901,-1.43647
15.883,-4.58621,-1.43647
15.8867,-4.6134,-1.43647
15.8904,-4.64059,-1.43647
15.8941,-4.66778,-1.43647
15.8977,-4.69497,-1.43647
15.9014,-4.72217,-1.43647
15.9051,-4.74936,-1.43647
15.9088,-4.77655,-1.43647
15.9124,-4.80374,-1.43647
15.9161,-4.83094,-1.43647
15.9198,-4.85813,-1.43647
15.9235,-4.88532,-1.43647
15.9271,-4.91251,-1.43647
15.9308,-4.93971,-1.43647
15.9345,-4.9669,-1.43647
15.9382,-4.99409,-1.43647
15.9418,-5.02128,-1.43647
15.9455,-5.04848,-1.43647
15.9492,-5.07567,-1.43647
15.9529,-5.10286,-1.43647
15.9565,-5.13005,-1.43647
15.9602,-5.15725,-1.43647
15.9639,-5.18444,-1.43647
15.9676,-5.21163,-1.43647
15.9712,-5.23882,-1.43647
